0	0	0	0	0	0
256	0	0	251	3	0
512	0	0	473	8	0
768	0	0	724	11	0
1024	0	0	964	14	0
1280	0	0	1202	19	0
1536	0	0	1432	22	0
1792	0	0	1652	25	0
2048	0	0	1873	29	0
2303	0	0	2098	32	0
2559	0	0	2322	36	0
2815	0	0	2531	39	0
3071	0	0	2751	42	0
3327	0	0	2982	45	0
3583	0	0	3176	49	0
3839	0	0	3390	53	0
4095	0	0	3619	57	0
0	256	0	13	251	1
256	256	0	263	258	1
512	256	0	490	262	0
768	256	0	744	267	0
1024	256	0	986	270	0
1280	256	0	1226	274	0
1536	256	0	1454	279	0
1792	256	0	1677	282	0
2048	256	0	1902	285	0
2303	256	0	2127	290	0
2559	256	0	2354	294	0
2815	256	0	2567	298	0
3071	256	0	2788	303	0
3327	256	0	3016	306	0
3583	256	0	3208	311	0
3839	256	0	3426	316	0
4095	256	0	3661	319	0
0	512	0	26	481	2
256	512	0	276	490	1
512	512	0	502	494	1
768	512	0	758	498	1
1024	512	0	999	503	1
1280	512	0	1241	508	1
1536	512	0	1467	513	1
1792	512	0	1691	518	0
2048	512	0	1917	521	0
2303	512	0	2141	527	0
2559	512	0	2367	533	0
2815	512	0	2577	538	0
3071	512	0	2801	544	0
3327	512	0	3029	550	0
3583	512	0	3218	555	0
3839	512	0	3439	561	0
4095	512	0	3675	566	0
0	768	0	37	739	2
256	768	0	287	747	2
512	768	0	513	755	2
768	768	0	770	758	2
1024	768	0	1011	763	2
1280	768	0	1251	769	1
1536	768	0	1476	775	1
1792	768	0	1703	780	1
2048	768	0	1927	785	1
2303	768	0	2151	789	1
2559	768	0	2374	794	1
2815	768	0	2585	800	1
3071	768	0	2807	806	0
3327	768	0	3035	813	0
3583	768	0	3228	817	0
3839	768	0	3447	823	0
4095	768	0	3680	829	0
0	1024	0	50	982	3
256	1024	0	298	990	3
512	1024	0	528	998	3
768	1024	0	786	1001	3
1024	1024	0	1025	1005	2
1280	1024	0	1265	1009	2
1536	1024	0	1492	1015	2
1792	1024	0	1716	1020	2
2048	1024	0	1942	1025	2
2303	1024	0	2168	1031	2
2559	1024	0	2389	1035	1
2815	1024	0	2603	1041	1
3071	1024	0	2823	1047	1
3327	1024	0	3046	1053	1
3583	1024	0	3243	1059	1
3839	1024	0	3457	1063	1
4095	1024	0	3691	1068	0
0	1280	0	63	1221	4
256	1280	0	311	1233	4
512	1280	0	541	1237	4
768	1280	0	800	1238	3
1024	1280	0	1039	1245	3
1280	1280	0	1277	1249	3
1536	1280	0	1501	1253	3
1792	1280	0	1725	1258	3
2048	1280	0	1952	1263	3
2303	1280	0	2179	1270	2
2559	1280	0	2401	1277	2
2815	1280	0	2613	1280	2
3071	1280	0	2830	1285	2
3327	1280	0	3053	1291	2
3583	1280	0	3250	1296	2
3839	1280	0	3467	1302	1
4095	1280	0	3708	1310	1
0	1536	0	76	1442	5
256	1536	0	323	1450	4
512	1536	0	555	1455	4
768	1536	0	813	1458	4
1024	1536	0	1051	1463	4
1280	1536	0	1291	1469	4
1536	1536	0	1514	1472	4
1792	1536	0	1738	1474	3
2048	1536	0	1966	1481	3
2303	1536	0	2193	1488	3
2559	1536	0	2411	1493	3
2815	1536	0	2625	1499	3
3071	1536	0	2850	1506	3
3327	1536	0	3070	1512	2
3583	1536	0	3268	1518	2
3839	1536	0	3482	1522	2
4095	1536	0	3717	1529	2
0	1792	0	89	1670	5
256	1792	0	334	1680	5
512	1792	0	570	1687	5
768	1792	0	828	1692	5
1024	1792	0	1065	1698	5
1280	1792	0	1305	1702	5
1536	1792	0	1526	1708	4
1792	1792	0	1752	1714	4
2048	1792	0	1977	1719	4
2303	1792	0	2204	1726	4
2559	1792	0	2424	1732	4
2815	1792	0	2637	1736	4
3071	1792	0	2856	1742	3
3327	1792	0	3074	1750	3
3583	1792	0	3270	1757	3
3839	1792	0	3490	1764	3
4095	1792	0	3725	1770	3
0	2048	0	102	1903	6
256	2048	0	347	1916	6
512	2048	0	584	1921	6
768	2048	0	840	1927	6
1024	2048	0	1077	1933	5
1280	2048	0	1319	1940	5
1536	2048	0	1537	1942	5
1792	2048	0	1763	1949	5
2048	2048	0	1988	1953	5
2303	2048	0	2217	1960	5
2559	2048	0	2438	1970	5
2815	2048	0	2648	1975	4
3071	2048	0	2867	1981	4
3327	2048	0	3083	1989	4
3583	2048	0	3281	1996	4
3839	2048	0	3507	2005	4
4095	2048	0	3739	2012	4
0	2303	0	114	2143	8
256	2303	0	359	2156	8
512	2303	0	599	2161	7
768	2303	0	852	2165	6
1024	2303	0	1092	2175	6
1280	2303	0	1331	2178	6
1536	2303	0	1551	2183	6
1792	2303	0	1776	2188	6
2048	2303	0	2005	2198	6
2303	2303	0	2234	2205	5
2559	2303	0	2452	2212	5
2815	2303	0	2664	2218	5
3071	2303	0	2885	2223	5
3327	2303	0	3096	2230	5
3583	2303	0	3297	2235	5
3839	2303	0	3521	2244	4
4095	2303	0	3758	2258	4
0	2559	0	128	2370	9
256	2559	0	373	2384	9
512	2559	0	614	2388	7
768	2559	0	867	2393	7
1024	2559	0	1107	2400	7
1280	2559	0	1342	2401	7
1536	2559	0	1567	2414	7
1792	2559	0	1791	2416	7
2048	2559	0	2018	2425	6
2303	2559	0	2247	2432	6
2559	2559	0	2462	2437	6
2815	2559	0	2675	2443	6
3071	2559	0	2900	2450	6
3327	2559	0	3110	2457	6
3583	2559	0	3310	2463	5
3839	2559	0	3534	2472	5
4095	2559	0	3763	2479	5
0	2815	0	141	2600	9
256	2815	0	386	2613	9
512	2815	0	628	2616	9
768	2815	0	881	2621	9
1024	2815	0	1120	2628	9
1280	2815	0	1358	2632	9
1536	2815	0	1580	2640	7
