0	0	0	0	0	0
256	0	0	206	11	4
512	0	0	396	23	7
768	0	0	590	35	12
1024	0	0	801	46	16
1280	0	0	996	58	19
1536	0	0	1193	69	23
1792	0	0	1385	81	27
2048	0	0	1570	93	32
2303	0	0	1752	104	35
2559	0	0	1937	116	38
2815	0	0	2125	128	42
3071	0	0	2314	140	46
3327	0	0	2488	152	50
3583	0	0	2670	164	54
3839	0	0	2856	176	57
4095	0	0	3041	187	62
0	256	0	58	245	18
256	256	0	264	258	21
512	256	0	452	270	25
768	256	0	656	282	30
1024	256	0	863	293	34
1280	256	0	1060	304	37
1536	256	0	1258	315	40
1792	256	0	1447	325	45
2048	256	0	1631	336	48
2303	256	0	1816	348	52
2559	256	0	2002	359	56
2815	256	0	2190	371	60
3071	256	0	2376	383	64
3327	256	0	2551	394	68
3583	256	0	2733	405	71
3839	256	0	2921	418	76
4095	256	0	3097	430	80
0	512	0	114	470	36
256	512	0	318	483	38
512	512	0	505	495	42
768	512	0	717	508	47
1024	512	0	919	519	50
1280	512	0	1117	532	54
1536	512	0	1317	545	58
1792	512	0	1501	558	62
2048	512	0	1685	572	66
2303	512	0	1870	585	70
2559	512	0	2056	597	74
2815	512	0	2247	611	78
3071	512	0	2425	624	82
3327	512	0	2602	637	86
3583	512	0	2783	650	90
3839	512	0	2974	665	94
4095	512	0	3142	679	98
0	768	0	173	720	52
256	768	0	370	735	56
512	768	0	562	749	61
768	768	0	775	761	64
1024	768	0	974	774	68
1280	768	0	1173	786	72
1536	768	0	1367	799	77
1792	768	0	1551	812	80
2048	768	0	1738	823	84
2303	768	0	1924	835	88
2559	768	0	2111	847	92
2815	768	0	2300	859	96
3071	768	0	2474	872	100
3327	768	0	2653	884	104
3583	768	0	2839	897	108
3839	768	0	3029	910	111
4095	768	0	3189	923	115
0	1024	0	230	959	70
256	1024	0	423	973	75
512	1024	0	624	985	79
768	1024	0	836	995	82
1024	1024	0	1031	1007	86
1280	1024	0	1230	1019	90
1536	1024	0	1422	1032	94
1792	1024	0	1607	1045	98
2048	1024	0	1792	1056	102
2303	1024	0	1979	1069	106
2559	1024	0	2166	1081	110
2815	1024	0	2352	1092	113
3071	1024	0	2527	1105	116
3327	1024	0	2708	1119	121
3583	1024	0	2893	1131	125
3839	1024	0	3074	1144	130
4095	1024	0	3235	1157	133
0	1280	0	287	1195	89
256	1280	0	477	1208	93
512	1280	0	686	1217	96
768	1280	0	891	1228	100
1024	1280	0	1088	1239	104
1280	1280	0	1285	1251	107
1536	1280	0	1472	1264	111
1792	1280	0	1657	1276	115
2048	1280	0	1844	1287	120
2303	1280	0	2030	1298	123
2559	1280	0	2221	1311	127
2815	1280	0	2403	1323	131
3071	1280	0	2579	1335	135
3327	1280	0	2759	1346	139
3583	1280	0	2947	1358	144
3839	1280	0	3121	1371	147
4095	1280	0	3286	1383	152
0	1536	0	341	1412	107
256	1536	0	532	1423	111
512	1536	0	745	1433	113
768	1536	0	948	1444	117
1024	1536	0	1146	1456	121
1280	1536	0	1343	1466	125
1536	1536	0	1527	1478	129
1792	1536	0	1713	1488	134
2048	1536	0	1901	1500	137
2303	1536	0	2088	1514	141
2559	1536	0	2278	1527	146
2815	1536	0	2454	1538	149
3071	1536	0	2633	1551	153
3327	1536	0	2817	1565	158
3583	1536	0	3006	1580	161
3839	1536	0	3169	1593	165
4095	1536	0	3339	1606	170
0	1792	0	395	1634	124
256	1792	0	593	1646	127
512	1792	0	807	1656	131
768	1792	0	1005	1669	135
1024	1792	0	1202	1682	139
1280	1792	0	1396	1694	143
1536	1792	0	1580	1707	147
1792	1792	0	1767	1720	151
2048	1792	0	1953	1731	155
2303	1792	0	2139	1744	159
2559	1792	0	2329	1759	164
2815	1792	0	2504	1773	167
3071	1792	0	2683	1786	171
3327	1792	0	2868	1799	176
3583	1792	0	3053	1814	179
3839	1792	0	3212	1825	184
4095	1792	0	3389	1840	187
0	2048	0	450	1862	141
256	2048	0	655	1875	145
512	2048	0	863	1888	150
768	2048	0	1061	1901	154
1024	2048	0	1260	1913	157
1280	2048	0	1449	1923	161
1536	2048	0	1632	1936	165
1792	2048	0	1821	1951	169
2048	2048	0	2006	1962	173
2303	2048	0	2196	1978	177
2559	2048	0	2382	1992	181
2815	2048	0	2556	2005	185
3071	2048	0	2735	2017	189
3327	2048	0	2922	2031	192
3583	2048	0	3103	2046	197
3839	2048	0	3266	2062	201
4095	2048	0	3448	2078	205
0	2303	0	504	2094	159
256	2303	0	715	2107	163
512	2303	0	920	2120	168
768	2303	0	1118	2134	171
1024	2303	0	1317	2144	175
1280	2303	0	1502	2157	179
1536	2303	0	1688	2170	183
1792	2303	0	1875	2183	186
2048	2303	0	2063	2199	191
2303	2303	0	2253	2212	194
2559	2303	0	2434	2226	198
2815	2303	0	2611	2240	202
3071	2303	0	2793	2253	206
3327	2303	0	2983	2266	211
3583	2303	0	3152	2280	215
3839	2303	0	3318	2294	220
4095	2303	0	3501	2310	224
0	2559	0	563	2321	177
256	2559	0	777	2331	182
512	2559	0	978	2345	185
768	2559	0	1176	2357	188
1024	2559	0	1371	2366	192
1280	2559	0	1557	2382	196
1536	2559	0	1743	2393	200
1792	2559	0	1931	2406	204
2048	2559	0	2120	2420	209
2303	2559	0	2308	2431	212
2559	2559	0	2485	2445	217
2815	2559	0	2664	2458	221
3071	2559	0	2847	2470	225
3327	2559	0	3038	2486	229
3583	2559	0	3198	2499	234
3839	2559	0	3369	2513	237
4095	2559	0	3554	2526	242
0	2815	0	624	2540	194
256	2815	0	838	2553	199
512	2815	0	1035	2566	202
768	2815	0	1233	2576	206
1024	2815	0	1425	2589	211
1280	2815	0	1612	2603	214
1536	2815	0	1800	2618	218
1792	2815	0	1986	2630	223
2048	2815	0	2175	2643	226
2303	2815	0	2362	2656	230
2559	2815	0	2537	2669	235
2815	2815	0	2717	2681	238
3071	2815	0	2903	2695	243
3327	2815	0	3086	2711	247
3583	2815	0	3246	2727	250
3839	2815	0	3425	2739	256
4095	2815	0	3616	2754	261
0	3071	0	687	2770	213
256	3071	0	895	2783	216
512	3071	0	1091	2795	221
768	3071	0	1291	2807	225
1024	3071	0	1481	2821	228
1280	3071	0	1667	2836	233
1536	3071	0	1855	2849	237
1792	3071	0	2041	2860	240
2048	3071	0	2232	2876	244
2303	3071	0	2416	2891	249
2559	3071	0	2592	2905	254
2815	3071	0	2773	2919	257
3071	3071	0	2963	2937	261
3327	3071	0	3138	2952	264
3583	3071	0	3302	2965	268
3839	3071	0	3488	2984	273
4095	3071	0	3683	2999	278
0	3327	0	750	2997	231
256	3327	0	952	3008	235
512	3327	0	1151	3019	240
768	3327	0	1351	3027	243
1024	3327	0	1536	3041	247
1280	3327	0	1723	3054	251
1536	3327	0	1910	3065	256
1792	3327	0	2097	3076	259
2048	3327	0	2288	3089	262
2303	3327	0	2468	3105	266
2559	3327	0	2647	3117	270
2815	3327	0	2829	3128	275
3071	3327	0	3019	3142	279
3327	3327	0	3184	3153	282
3583	3327	0	3354	3166	286
3839	3327	0	3541	3182	290
4095	3327	0	3737	3194	294
0	3583	0	809	3195	249
256	3583	0	1010	3210	254
512	3583	0	1210	3222	257
768	3583	0	1405	3234	261
1024	3583	0	1592	3249	264
1280	3583	0	1780	3262	269
1536	3583	0	1965	3273	272
1792	3583	0	2153	3285	276
2048	3583	0	2343	3302	281
2303	3583	0	2520	3316	284
2559	3583	0	2698	3328	288
2815	3583	0	2882	3340	292
3071	3583	0	3072	3355	295
3327	3583	0	3229	3368	300
3583	3583	0	3409	3385	304
3839	3583	0	3599	3402	309
4095	3583	0	3790	3416	312
0	3839	0	870	3422	266
256	3839	0	1069	3436	271
512	3839	0	1269	3449	274
768	3839	0	1461	3463	278
1024	3839	0	1648	3475	283
1280	3839	0	1835	3488	286
1536	3839	0	2021	3501	290
1792	3839	0	2210	3517	294
2048	3839	0	2397	3533	298
2303	3839	0	2573	3548	302
2559	3839	0	2753	3561	306
2815	3839	0	2941	3576	310
3071	3839	0	3122	3592	314
3327	3839	0	3282	3607	318
3583	3839	0	3467	3626	323
3839	3839	0	3659	3641	326
4095	3839	0	3839	3655	330
0	4095	0	929	3663	285
256	4095	0	1128	3672	289
512	4095	0	1326	3681	293
768	4095	0	1516	3692	296
1024	4095	0	1703	3704	301
1280	4095	0	1892	3717	304
1536	4095	0	2078	3729	308
1792	4095	0	2267	3740	312
2048	4095	0	2449	3753	315
2303	4095	0	2627	3766	319
2559	4095	0	2809	3780	324
2815	4095	0	3000	3795	327
3071	4095	0	3173	3809	332
3327	4095	0	3339	3822	335
3583	4095	0	3522	3838	339
3839	4095	0	3716	3849	342
4095	4095	0	3887	3862	347
0	0	256	9	3	207
256	0	256	217	14	211
512	0	256	409	26	216
768	0	256	606	37	218
1024	0	256	816	49	223
1280	0	256	1013	61	228
1536	0	256	1212	72	232
1792	0	256	1405	84	235
2048	0	256	1591	96	239
2303	0	256	1775	108	243
2559	0	256	1960	118	246
2815	0	256	2149	131	251
3071	0	256	2337	143	255
3327	0	256	2514	155	258
3583	0	256	2695	167	263
3839	0	256	2883	179	267
4095	0	256	3069	190	274
0	256	256	67	251	224
256	256	256	276	263	228
512	256	256	465	274	237
768	256	256	671	286	240
1024	256	256	879	297	245
1280	256	256	1077	308	249
1536	256	256	1277	319	252
1792	256	256	1467	329	256
2048	256	256	1653	341	259
2303	256	256	1838	353	263
2559	256	256	2025	364	267
2815	256	256	2214	376	272
3071	256	256	2398	388	276
3327	256	256	2574	399	280
3583	256	256	2754	409	284
3839	256	256	2944	421	288
4095	256	256	3120	435	291
0	512	256	124	478	248
256	512	256	330	490	251
512	512	256	520	502	254
768	512	256	733	515	258
1024	512	256	937	527	262
1280	512	256	1135	539	266
1536	512	256	1336	551	270
1792	512	256	1521	565	275
2048	512	256	1708	579	278
2303	512	256	1893	592	281
2559	512	256	2078	604	286
2815	512	256	2270	618	290
3071	512	256	2449	631	293
3327	512	256	2625	643	297
3583	512	256	2807	656	301
3839	512	256	2996	671	304
4095	512	256	3165	683	309
0	768	256	183	730	265
256	768	256	383	741	269
512	768	256	580	756	272
768	768	256	791	768	276
1024	768	256	991	781	280
1280	768	256	1191	794	283
1536	768	256	1387	806	287
1792	768	256	1574	818	292
2048	768	256	1758	830	294
2303	768	256	1943	841	298
2559	768	256	2133	853	302
2815	768	256	2323	866	306
3071	768	256	2497	878	310
3327	768	256	2676	890	314
3583	768	256	2862	903	317
3839	768	256	3051	916	322
4095	768	256	3210	928	326
0	1024	256	242	967	283
256	1024	256	436	979	286
512	1024	256	639	991	289
768	1024	256	849	1002	292
1024	1024	256	1049	1014	295
1280	1024	256	1248	1025	299
1536	1024	256	1439	1038	304
1792	1024	256	1625	1052	307
2048	1024	256	1810	1062	311
2303	1024	256	1997	1074	315
2559	1024	256	2186	1087	319
2815	1024	256	2371	1099	322
3071	1024	256	2546	1111	327
3327	1024	256	2728	1124	330
3583	1024	256	2916	1138	334
3839	1024	256	3096	1151	338
4095	1024	256	3255	1164	343
0	1280	256	298	1202	298
256	1280	256	491	1214	302
512	1280	256	700	1224	306
768	1280	256	906	1235	310
1024	1280	256	1102	1245	312
1280	1280	256	1301	1256	316
1536	1280	256	1489	1271	321
1792	1280	256	1675	1284	325
2048	1280	256	1863	1294	329
2303	1280	256	2051	1306	332
2559	1280	256	2239	1318	335
2815	1280	256	2420	1329	339
3071	1280	256	2597	1340	344
3327	1280	256	2781	1354	347
